type,temp,hum,moist,ax,ay,az,gx,gy,gz,label
LANDSLIDE,28.31,61.48,772,-0.018568895654782216,-0.06258715073324934,9.720987753173546,-0.336177147272844,-0.13592926051390541,0.04985483043370054,Normal
LANDSLIDE,20.17,89.25,2435,0.5088387618262853,0.6820828007960106,9.01171360411728,-0.04831756891342276,0.1262338514471546,0.33631720906894147,Severe
LANDSLIDE,23.66,92.55,2262,-0.5559859071631084,-0.8121111559213254,9.270846652344588,0.33219874315475617,-0.3873651508482494,0.10731010156065435,Severe
LANDSLIDE,24.63,75.83,1279,-0.365378963677403,0.3672228753456455,9.64691509034168,0.11378899241673446,0.391439495643249,-0.6468932612091968,Moderate
LANDSLIDE,22.86,96.04,2736,4.431601962111552,-4.09120361693936,7.747417892176373,-4.197875279074067,-4.860991949398388,0.9489673965339636,Extreme
LANDSLIDE,25.75,94.35,2455,0.6810612282609523,-0.9578910112527853,9.211379551595286,0.38088959380188103,0.2706749248459934,-0.10745696269903227,Severe
LANDSLIDE,27.77,69.68,553,-0.011158496136427234,-0.005870572651657607,9.780488455559764,-0.07819570152600508,0.12178940137790184,-0.1707437945392567,Normal
LANDSLIDE,25.09,65.16,1201,0.0454476258818417,-0.06167963914630512,9.7253247874929,-0.09617695339830634,0.11077436514616978,-0.49258511139820693,Normal
LANDSLIDE,23.62,88.71,1858,0.41763341219833405,-0.254199485964749,9.638155725307707,0.08367051690099192,-0.10237029444500312,0.16741530315249986,Moderate
LANDSLIDE,21.97,90.34,3537,4.013899099172287,-3.015762053946876,4.3102516008914495,-3.631967524761593,-4.226868754909222,-1.355630079202026,Extreme
LANDSLIDE,26.61,85.88,1645,0.4978053049071125,0.408639885189083,9.678695938099018,-0.25457856741344786,0.5610777559493438,-0.6673414037411203,Moderate
LANDSLIDE,20.24,77.35,1450,-0.22947841176053535,0.23248684958335492,9.66780246609425,0.5866401677153235,0.6403277747029577,0.3246591619896435,Moderate
LANDSLIDE,26.42,96.63,3872,-3.561876552048227,4.438562919613064,5.51734011115269,-1.4285964814365617,-4.56671581230698,1.7765693079399565,Extreme
LANDSLIDE,20.24,85.53,3315,-3.9394971183499514,-2.0925579742162177,5.3885102668547,1.2563087547992264,-1.6041810380379051,-1.8283352600381289,Extreme
LANDSLIDE,22.84,88.71,1984,0.38230822821069493,0.45952150537010095,9.555785349906676,-0.33492128956271155,0.4629379518457497,-0.5002484328344616,Moderate
LANDSLIDE,26.56,73.46,1817,-0.49093588014470113,0.2339215249486582,9.639149568239624,-0.5086839157682471,0.5551490570890145,-0.2045735657832154,Moderate
LANDSLIDE,26.67,91.34,2404,0.537314529206036,0.5882432381223173,9.456035930698006,0.40530397000634544,-0.6762710514536736,0.026388901453324287,Severe
LANDSLIDE,16.07,88.08,1537,-0.1846199803985822,0.39964577328426376,9.551993014745172,-0.06570546140680256,-0.23154546460784897,-0.7779181477025207,Moderate
LANDSLIDE,30.59,79.59,237,0.07055980585060856,-0.0549541403570611,9.829637749096394,0.0025221257131856634,0.41788838512240445,0.39601554447911336,Normal
LANDSLIDE,29.91,79.31,2012,-0.3208599495362653,0.42374613539321326,9.778190201550322,0.7000990216456389,0.19896330808683482,0.4016521415784202,Moderate
LANDSLIDE,18.09,82.82,1999,-0.3378360017054097,-0.4980745003402661,9.775073277760635,-0.3456960681400462,-0.3593751290120187,0.41825705345409214,Moderate
LANDSLIDE,25.83,54.42,1027,0.026026343422861087,-0.07182984935299397,9.737198875026644,0.035031969403480745,-0.45233022852449634,0.25431796870886936,Normal
LANDSLIDE,27.25,93.47,2510,1.082144268358447,-2.9308082867362297,5.172085959080317,1.755213122357861,1.6032633760010326,-0.4534142617246175,Extreme
